TYPE_VEHICULE,Gravite,Configuration,Aspect route,count
SANS_CAMION,Dommage matériel ou Léger,plus d’une voie par direction,"Courbe, plat",426
SANS_CAMION,Dommage matériel ou Léger,plus d’une voie par direction,"Courbe, en haut de la pente",43
SANS_CAMION,Dommage matériel ou Léger,plus d’une voie par direction,"Courbe, dans la pente",103
SANS_CAMION,Dommage matériel ou Léger,plus d’une voie par direction,"Courbe, en bas de la pente (creux)",33
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement franchissable,"Droit, plat",5031
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement franchissable,"Droit, en haut de la pente",91
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement franchissable,"Droit, dans la pente",183
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement franchissable,"Droit, en bas de la pente (creux)",86
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement franchissable,"Courbe, plat",108
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement franchissable,"Courbe, en haut de la pente",9
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement franchissable,"Courbe, dans la pente",16
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement franchissable,"Courbe, en bas de la pente (creux)",4
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement infranchissable,"Droit, plat",6194
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement infranchissable,"Droit, en haut de la pente",210
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement infranchissable,"Droit, dans la pente",394
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement infranchissable,"Droit, en bas de la pente (creux)",157
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement infranchissable,"Courbe, plat",187
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement infranchissable,"Courbe, en haut de la pente",32
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement infranchissable,"Courbe, dans la pente",58
SANS_CAMION,Dommage matériel ou Léger,Séparée par aménagement infranchissable,"Courbe, en bas de la pente (creux)",30
SANS_CAMION,Dommage matériel ou Léger,Autre,"Droit, plat",10406
SANS_CAMION,Dommage matériel ou Léger,Autre,"Droit, en haut de la pente",111
SANS_CAMION,Dommage matériel ou Léger,Autre,"Droit, dans la pente",258
SANS_CAMION,Dommage matériel ou Léger,Autre,"Droit, en bas de la pente (creux)",121
SANS_CAMION,Dommage matériel ou Léger,Autre,"Courbe, plat",72
SANS_CAMION,Dommage matériel ou Léger,Autre,"Courbe, en haut de la pente",12
SANS_CAMION,Dommage matériel ou Léger,Autre,"Courbe, dans la pente",16
SANS_CAMION,Dommage matériel ou Léger,Autre,"Courbe, en bas de la pente (creux)",10
