Date,Nombres
2012-07-25,7.0
2012-07-26,5.714285714285714
2012-07-27,6.285714285714286
2012-07-28,6.142857142857143
2012-07-29,6.285714285714286
2012-07-30,6.285714285714286
2012-07-31,6.0
2012-08-01,6.142857142857143
2012-08-02,6.428571428571429
2012-08-03,5.0
2012-08-04,4.571428571428571
2012-08-06,5.0
2012-08-07,4.571428571428571
2012-08-08,4.857142857142857
2012-08-09,4.428571428571429
2012-08-10,4.857142857142857
2012-08-11,4.714285714285714
2012-08-12,5.0
2012-08-13,5.0
2012-08-14,5.857142857142857
2012-08-15,4.857142857142857
2012-08-16,5.285714285714286
2012-08-17,4.285714285714286
2012-08-18,4.285714285714286
2012-08-19,4.285714285714286
2012-08-20,4.428571428571429
2012-08-21,4.0
2012-08-22,5.285714285714286
